"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H2,H5,H6,H8,H1,H4,H7,H3";"MountingHole_2.2mm_M2_Pad";8;"MountingHole";;;
2;"MX11,MX1,MX2,MX7,MX8,MX9,MX10,MX12,MX13,MX14,MX15,MX18,MX19,MX20,MX21,MX24,MX25,MX26,MX27,MX29,MX30,MX31,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX40,MX41,MX42,MX43,MX44,MX46,MX47,MX48,MX49,MX50,MX52,MX53,MX54,MX55,MX58,MX60,MX61,MX62,MX63,MX64,MX65,MX67,MX68,MX69,MX70,MX71,MX72,MX73,MX75,MX76,MX78,MX79,MX80,MX81,MX82,MX22,MX23,MX57,MX51,MX77,MX16,MX59";"MXOnly-1U";72;"MX-LED";;;
3;"G1, G2";"adelheid-logo";2;"LOGO";;;
4;"MX5";"MXOnly-2.25U";1;"MX-LED";;;
5;"MX6,MX17,MX56,MX3";"MXOnly-1.5U";4;"MX-LED";;;
6;"MX28,MX90";"MXOnly-2U-ReversedStabilizers";2;"MX-LED";;;
7;"MX45";"MXOnly-2.75U-ReversedStabilizers";1;"MX-LED";;;
8;"MX66,MX4";"MXOnly-1.75U";2;"MX-LED";;;
9;"MX74";"MXOnly-ISO";1;"MX-LED";;;
10;"MX4_1";"MXOnly-1.75U-FLIPPED";1;"MX-LED";;;
11;"C3";"C_0805_HandSoldering";1;"10uF";;;
12;"C7,C8,C6,C9";"C_0805_HandSoldering";4;"0.1uF";;;
13;"C4";"C_0805_HandSoldering";1;"1uF (±10%)";;;
14;"J2";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"MISO";;;
15;"J5";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"MOSI";;;
16;"J7,J15";"Pin_Header_Straight_1x01_Pitch2.54mm";2;"GND";;;
17;"R4,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10K";;;
18;"J3,J12";"Pin_Header_Straight_1x01_Pitch2.54mm";2;"VCC";;;
19;"SWR1";"SW_SPST_TL3342";1;"SW_Push";;;
20;"C1,C2";"C_0805_HandSoldering";2;"22pF";;;
21;"J6";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"RES";;;
22;"J1";"USB-Mini-B_2leg";1;"USB_B_Mini";;;
23;"J4";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"SCK";;;
24;"U1";"SOT-23-6_Handsoldering";1;"USBLC6-2SC6";;;
25;"J8";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"PF4";;;
26;"J9";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"PF5";;;
27;"J13";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"D+";;;
28;"J14";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"D-";;;
29;"C5";"C_0805_HandSoldering";1;"1uF";;;
30;"R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22";;;
31;"Y1";"Crystal_SMD_SeikoEpson_FA238-4pin_3.2x2.5mm_HandSoldering";1;"Crystal_GND24";;;
32;"D18,D30,D40,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D14,D15,D16,D17,D19,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D31,D32,D33,D34,D35,D36,D37,D38,D39,D43,D44,D45,D47,D48,D49,D50,D51,D52,D53,D57,D58,D59,D61,D62,D63,D65,D66,D67,D68,D69,D71,D72,D73,D74,D75,D76,D77,D78,D79,D80,D81,D82,D1,D54,D46,D64,D56,D55,D41,D13,D60,D42,D70";"D_SOD-123";82;"D";;;
33;"RL14,RL30,RL44,RL1,RL2,RL3,RL4,RL5,RL6,RL8,RL9,RL10,RL11,RL12,RL15,RL16,RL17,RL18,RL19,RL21,RL23,RL24,RL25,RL26,RL27,RL28,RL29,RL31,RL32,RL33,RL34,RL35,RL36,RL37,RL38,RL39,RL40,RL41,RL42,RL43,RL45,RL46,RL47,RL48,RL49,RL50,RL51,RL53,RL54,RL55,RL56,RL57,RL58,RL60,RL61,RL62,RL63,RL64,RL65,RL66,RL68,RL69,RL70,RL71,RL72,RL73,RL74,RL75,RL76,RL77,RL78,RL79,RL80,RL81,RS1,RS3,RS4,RS5,RS7,RS8,RS9,RS10,RS14,RS17,RS13,RS15,RS12,RS16,RS2,RS11,RS6,RL20,RL13,RL22,RL7,RL82,RL67,RL52,RL59";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";99;"R";;;
34;"U2";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATmega32U4-AU";;;
35;"LS3,LS4,LS5,LS6,LS7,LS8,LS9,LS14,LS17,LS1,LS10,LS13,LS15,LS12,LS16,LS2,LS11";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";17;"LED";;;
36;"R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1.5K";;;
37;"Q1";"SOT-23";1;"2N7002";;;
